order_id,payment_sequential,payment_type,payment_installments,payment_value
order_000413,1,credit_card,1,35.29
order_000414,1,debit_card,2,381.54
order_000415,1,credit_card,9,133.79
order_000416,1,voucher,12,24.26
order_000417,1,boleto,12,55.63
order_000418,1,credit_card,2,134.93
order_000419,1,credit_card,1,91.93
order_000420,1,credit_card,8,54.01
order_000421,1,credit_card,4,62.15
order_000422,1,boleto,3,49.79
order_000423,1,boleto,8,45.27
order_000424,1,boleto,8,214.23
order_000425,1,credit_card,1,69.03
order_000426,1,credit_card,12,150.95
order_000427,1,boleto,1,33.57
order_000428,1,credit_card,2,69.85
order_000429,1,credit_card,2,165.63
order_000430,1,credit_card,2,112.6
order_000431,1,credit_card,4,57.71
order_000432,1,credit_card,11,110.0
order_000433,1,credit_card,1,120.61
order_000434,1,credit_card,6,81.12
order_000435,1,credit_card,2,127.55
order_000436,1,boleto,4,17.63
order_000437,1,credit_card,2,74.22
order_000438,1,credit_card,1,55.79
order_000439,1,credit_card,2,35.96
order_000440,1,credit_card,7,79.72
order_000441,1,credit_card,1,59.96
order_000442,1,credit_card,5,495.31
order_000443,1,credit_card,2,56.62
order_000444,1,credit_card,2,64.96
order_000445,1,credit_card,1,186.3
order_000446,1,credit_card,4,43.82
order_000447,1,credit_card,1,180.05
order_000448,1,credit_card,1,79.06
order_000449,1,boleto,8,148.76
order_000450,1,credit_card,11,116.94
order_000451,1,credit_card,3,82.5
order_000452,1,credit_card,11,102.39
order_000453,1,boleto,2,154.94
order_000454,1,credit_card,1,370.48
order_000455,1,credit_card,2,207.26
order_000456,1,credit_card,4,59.61
order_000457,1,boleto,1,78.36
order_000458,1,credit_card,9,53.97
order_000459,1,credit_card,9,268.64
order_000460,1,credit_card,12,82.5
order_000461,1,boleto,2,118.11
order_000462,1,credit_card,2,119.73
order_000463,1,credit_card,1,82.11
order_000464,1,credit_card,1,69.56
order_000465,1,credit_card,2,9.02
order_000466,1,credit_card,1,39.11
order_000467,1,voucher,2,62.26
order_000468,1,credit_card,10,45.2
order_000469,1,boleto,5,75.07
order_000470,1,boleto,1,65.23
order_000471,1,boleto,5,75.31
order_000472,1,credit_card,1,74.43
order_000473,1,credit_card,5,98.09
order_000474,1,credit_card,3,209.25
order_000475,1,credit_card,2,19.86
order_000476,1,boleto,4,67.46
order_000477,1,credit_card,1,26.22
order_000478,1,boleto,1,71.96
order_000479,1,boleto,4,83.51
order_000480,1,boleto,9,305.45
order_000481,1,credit_card,2,75.23
order_000482,1,credit_card,2,30.09
order_000483,1,boleto,1,233.4
order_000484,1,credit_card,1,118.52
order_000485,1,credit_card,2,149.59
order_000486,1,credit_card,1,94.11
order_000487,1,boleto,8,46.12
order_000488,1,credit_card,6,97.48
order_000489,1,credit_card,6,87.48
order_000490,1,credit_card,12,88.09
order_000491,1,credit_card,8,176.56
order_000492,1,credit_card,5,52.64
order_000493,1,credit_card,2,70.9
order_000494,1,credit_card,1,219.99
order_000495,1,credit_card,5,86.45
order_000496,1,credit_card,4,100.98
order_000497,1,boleto,1,70.57
order_000498,1,credit_card,1,75.07
order_000499,1,credit_card,11,111.31
order_000500,1,debit_card,1,57.19
order_000501,1,credit_card,1,250.19
order_000502,1,credit_card,4,60.98
order_000503,1,boleto,5,115.64
order_000504,1,credit_card,8,123.2
order_000505,1,voucher,1,41.22
order_000506,1,voucher,1,122.33
order_000507,1,voucher,1,42.7
order_000508,1,credit_card,4,169.02
order_000509,1,credit_card,1,39.49
order_000510,1,boleto,4,121.22
order_000511,1,credit_card,11,655.27
order_000512,1,boleto,4,51.75
order_000513,1,credit_card,6,66.8
order_000514,1,credit_card,10,171.72
order_000515,1,credit_card,4,175.32
order_000516,1,credit_card,3,90.83
order_000517,1,voucher,5,401.81
order_000518,1,credit_card,4,28.82
order_000519,1,boleto,12,81.95
order_000520,1,credit_card,11,188.51
order_000521,1,credit_card,1,150.32
order_000522,1,boleto,4,53.38
order_000523,1,credit_card,8,86.14
order_000524,1,credit_card,4,54.88
order_000525,1,credit_card,5,96.69
order_000526,1,boleto,7,98.25
order_000527,1,credit_card,3,132.74
order_000528,1,credit_card,12,120.59
order_000529,1,boleto,3,43.78
order_000530,1,voucher,6,56.05
order_000531,1,credit_card,1,148.11
order_000532,1,credit_card,8,106.22
order_000533,1,credit_card,1,85.86
order_000534,1,credit_card,8,83.26
order_000535,1,credit_card,8,42.1
order_000536,1,credit_card,1,81.34
order_000537,1,voucher,8,304.46
order_000538,1,credit_card,3,116.78
order_000539,1,credit_card,9,100.88
order_000540,1,credit_card,1,119.15
order_000541,1,credit_card,1,47.7
order_000542,1,credit_card,2,107.72
order_000543,1,credit_card,2,99.95
order_000544,1,credit_card,4,55.07
order_000545,1,credit_card,1,40.26
order_000546,1,boleto,1,53.5
order_000547,1,credit_card,7,76.93
order_000548,1,credit_card,2,78.58
order_000549,1,credit_card,4,129.8
order_000550,1,boleto,3,38.18
order_000551,1,credit_card,1,92.43
order_000552,1,credit_card,4,164.92
order_000553,1,credit_card,1,80.47
order_000554,1,credit_card,9,96.09
order_000555,1,credit_card,1,335.4
order_000556,1,credit_card,1,93.95
order_000557,1,boleto,2,66.29
order_000558,1,credit_card,9,71.64
order_000559,1,boleto,1,83.14
order_000560,1,credit_card,5,115.53
order_000561,1,credit_card,2,61.48
order_000562,1,credit_card,6,193.8
order_000563,1,credit_card,2,119.73
order_000564,1,credit_card,8,57.9
order_000565,1,boleto,3,197.34
order_000566,1,voucher,10,72.77
order_000567,1,credit_card,6,56.17
order_000568,1,credit_card,3,64.06
order_000569,1,credit_card,6,121.55
order_000570,1,credit_card,7,148.42
order_000571,1,credit_card,2,140.58
order_000572,1,credit_card,2,129.29
order_000573,1,credit_card,5,56.74
order_000574,1,credit_card,1,202.28
order_000575,1,credit_card,9,419.21
order_000576,1,boleto,1,62.45
order_000577,1,credit_card,1,78.13
order_000578,1,credit_card,1,107.67
order_000579,1,credit_card,10,121.63
order_000580,1,credit_card,4,284.82
order_000581,1,voucher,8,274.31
order_000582,1,boleto,2,102.02
order_000583,1,voucher,1,38.8
order_000584,1,credit_card,3,81.56
order_000585,1,boleto,6,111.69
order_000586,1,credit_card,1,71.65
order_000587,1,credit_card,5,72.32
order_000588,1,credit_card,1,134.83
order_000589,1,credit_card,8,131.69
order_000590,1,voucher,1,103.56
order_000591,1,credit_card,8,392.79
order_000592,1,credit_card,1,42.06
order_000593,1,voucher,2,110.38
order_000594,1,boleto,12,114.9
order_000595,1,credit_card,1,10.29
order_000596,1,credit_card,2,32.81
order_000597,1,credit_card,1,110.9
order_000598,1,boleto,9,43.05
order_000599,1,credit_card,4,137.41
order_000600,1,credit_card,4,191.03
order_000601,1,credit_card,8,154.17
order_000602,1,credit_card,4,37.36
order_000603,1,credit_card,2,35.1
order_000604,1,credit_card,11,421.37
order_000605,1,credit_card,1,241.36
order_000606,1,credit_card,2,127.37
order_000607,1,credit_card,8,40.88
order_000608,1,boleto,1,44.72
order_000609,1,credit_card,2,129.28
order_000610,1,credit_card,3,82.8
order_000611,1,boleto,1,94.93
order_000612,1,credit_card,2,124.18
order_000613,1,credit_card,8,227.18
order_000614,1,credit_card,1,53.66
order_000615,1,credit_card,3,23.02
order_000616,1,credit_card,6,77.34
order_000617,1,credit_card,4,99.55
order_000618,1,credit_card,1,99.1
order_000619,1,credit_card,1,60.23
order_000620,1,credit_card,1,62.05
order_000621,1,boleto,6,78.16
order_000622,1,credit_card,7,223.25
order_000623,1,credit_card,1,56.17
order_000624,1,credit_card,11,60.36
order_000625,1,credit_card,7,277.57
order_000626,1,credit_card,1,38.23
order_000627,1,boleto,7,232.24
order_000628,1,credit_card,1,242.71
order_000629,1,boleto,1,100.15
order_000630,1,debit_card,7,408.75
order_000631,1,voucher,9,80.49
order_000632,1,credit_card,7,69.55
order_000633,1,credit_card,5,195.93
order_000634,1,boleto,4,104.15
order_000635,1,credit_card,10,283.08
order_000636,1,credit_card,1,81.31
order_000637,1,credit_card,2,145.4
order_000638,1,credit_card,2,34.95
order_000639,1,boleto,11,494.61
order_000640,1,credit_card,4,170.07
order_000641,1,debit_card,1,25.93
order_000642,1,credit_card,5,85.73
order_000643,1,credit_card,1,47.71
order_000644,1,credit_card,11,328.24
order_000645,1,credit_card,1,113.03
order_000646,1,credit_card,1,70.42
order_000647,1,voucher,10,58.42
order_000648,1,credit_card,3,179.61
order_000649,1,boleto,4,116.02
order_000650,1,credit_card,2,237.9
order_000651,1,credit_card,2,160.63
order_000652,1,credit_card,1,40.31
order_000653,1,credit_card,1,31.3
order_000654,1,credit_card,7,49.61
order_000655,1,credit_card,1,37.42
order_000656,1,credit_card,1,71.64
order_000657,1,boleto,1,158.68
order_000658,1,credit_card,1,81.26
order_000659,1,boleto,1,33.7
order_000660,1,credit_card,2,92.36
order_000661,1,credit_card,5,95.36
order_000662,1,credit_card,3,134.19
order_000663,1,boleto,1,40.05
order_000664,1,credit_card,1,198.49
order_000665,1,credit_card,2,182.17
order_000666,1,boleto,5,47.75
order_000667,1,credit_card,1,82.84
order_000668,1,credit_card,1,86.54
order_000669,1,boleto,9,104.61
order_000670,1,credit_card,1,588.7
order_000671,1,boleto,6,37.88
order_000672,1,credit_card,3,175.56
order_000673,1,credit_card,3,267.8
order_000674,1,credit_card,3,203.32
order_000675,1,credit_card,1,418.86
order_000676,1,credit_card,1,143.23
order_000677,1,credit_card,1,115.28
order_000678,1,credit_card,6,314.04
order_000679,1,credit_card,11,168.08
order_000680,1,credit_card,3,125.6
order_000681,1,credit_card,1,130.45
order_000682,1,credit_card,7,51.29
order_000683,1,credit_card,1,297.05
order_000684,1,credit_card,1,58.05
order_000685,1,credit_card,1,127.53
order_000686,1,credit_card,1,114.03
order_000687,1,debit_card,10,109.64
order_000688,1,credit_card,5,121.26
order_000689,1,credit_card,1,46.8
order_000690,1,credit_card,1,42.87
order_000691,1,credit_card,1,53.5
order_000692,1,credit_card,2,194.85
order_000693,1,credit_card,6,75.1
order_000694,1,credit_card,8,113.05
order_000695,1,boleto,1,105.38
order_000696,1,credit_card,4,115.29
order_000697,1,credit_card,7,29.92
order_000698,1,credit_card,12,119.15
order_000699,1,credit_card,9,268.09
order_000700,1,credit_card,1,148.83
order_000701,1,voucher,7,205.25
order_000702,1,credit_card,3,51.59
order_000703,1,boleto,2,159.22
order_000704,1,boleto,8,22.18
order_000705,1,credit_card,8,59.09
order_000706,1,boleto,5,269.97
order_000707,1,credit_card,1,199.15
order_000708,1,boleto,4,141.43
order_000709,1,boleto,2,131.47
order_000710,1,credit_card,3,66.43
order_000711,1,credit_card,2,43.04
order_000712,1,voucher,5,101.42
order_000713,1,credit_card,1,416.91
order_000714,1,credit_card,1,597.25
order_000715,1,credit_card,3,34.19
order_000716,1,credit_card,3,189.33
order_000717,1,credit_card,12,111.39
order_000718,1,boleto,1,115.2
order_000719,1,credit_card,1,41.54
order_000720,1,credit_card,1,92.53
order_000721,1,boleto,1,322.9
order_000722,1,credit_card,6,97.43
order_000723,1,voucher,1,198.06
order_000724,1,credit_card,4,266.56
order_000725,1,boleto,1,70.43
order_000726,1,boleto,1,106.05
order_000727,1,boleto,3,141.06
order_000728,1,credit_card,8,92.92
order_000729,1,credit_card,6,19.54
order_000730,1,boleto,10,35.13
order_000731,1,credit_card,6,125.42
order_000732,1,boleto,8,35.16
order_000733,1,voucher,3,125.12
order_000734,1,credit_card,8,53.55
order_000735,1,credit_card,1,48.2
order_000736,1,credit_card,1,55.17
order_000737,1,voucher,4,166.95
order_000738,1,credit_card,5,108.65
order_000739,1,credit_card,2,36.09
order_000740,1,credit_card,1,172.29
order_000741,1,debit_card,2,77.57
order_000742,1,boleto,7,77.09
order_000743,1,credit_card,9,89.75
order_000744,1,credit_card,1,238.63
order_000745,1,credit_card,5,176.22
order_000746,1,credit_card,1,39.8
order_000747,1,debit_card,4,10.93
order_000748,1,credit_card,7,250.46
order_000749,1,credit_card,1,481.76
order_000750,1,credit_card,1,67.38
order_000751,1,credit_card,1,177.22
order_000752,1,credit_card,2,43.15
order_000753,1,credit_card,1,317.65
order_000754,1,credit_card,3,18.0
order_000755,1,credit_card,3,175.17
order_000756,1,credit_card,4,67.41
order_000757,1,credit_card,1,98.86
order_000758,1,credit_card,12,23.93
order_000759,1,credit_card,3,248.78
order_000760,1,credit_card,1,418.92
order_000761,1,credit_card,1,61.67
order_000762,1,boleto,9,37.84
order_000763,1,credit_card,1,62.63
order_000764,1,boleto,4,93.77
order_000765,1,credit_card,6,40.37
order_000766,1,voucher,10,94.39
order_000767,1,credit_card,1,115.44
order_000768,1,boleto,3,39.85
order_000769,1,credit_card,11,93.29
order_000770,1,boleto,1,131.13
order_000771,1,credit_card,1,40.57
order_000772,1,voucher,6,32.79
order_000773,1,credit_card,9,173.74
order_000774,1,voucher,7,87.57
order_000775,1,boleto,1,62.83
order_000776,1,credit_card,4,111.24
order_000777,1,boleto,2,152.32
order_000778,1,credit_card,2,55.04
order_000779,1,voucher,3,96.61
order_000780,1,credit_card,1,83.32
order_000781,1,credit_card,2,112.83
order_000782,1,credit_card,2,174.63
order_000783,1,voucher,2,213.06
order_000784,1,credit_card,1,165.05
